# In this example, the function has two range components, value1 and
# value2.  These are defined in a 1D domain named x, and the values
# of x are read from the file as well.
(x)->(value1, value2)
x,value1,skip,skip,skip,skip,value2
100 , 0 , 17 , 34 , 50 , 64 , 76 , 86 , 93 , 98 , 99 
101 , 17 , 34 , 50 , 64 , 76 , 86 , 93 , 98 , 99 , 98 
102 , 34 , 50 , 64 , 76 , 86 , 93 , 98 , 99 , 98 , 93 
103 , 50 , 64 , 76 , 86 , 93 , 98 , 99 , 98 , 93 , 86 
104 , 64 , 76 , 86 , 93 , 98 , 99 , 98 , 93 , 86 , 76 
105 , 76 , 86 , 93 , 98 , 99 , 98 , 93 , 86 , 76 , 64 
106 , 86 , 93 , 98 , 99 , 98 , 93 , 86 , 76 , 64 , 49 
107 , 93 , 98 , 99 , 98 , 93 , 86 , 76 , 64 , 49 , 34 
108 , 98 , 99 , 98 , 93 , 86 , 76 , 64 , 49 , 34 , 17 
109 , 99 , 98 , 93 , 86 , 76 , 64 , 49 , 34 , 17 , 0 
110 , 98 , 93 , 86 , 76 , 64 , 49 , 34 , 17 , 0 , -17 
111 , 93 , 86 , 76 , 64 , 49 , 34 , 17 , 0 , -17 , -34 
112 , 86 , 76 , 64 , 49 , 34 , 17 , 0 , -17 , -34 , -50 
113 , 76 , 64 , 49 , 34 , 17 , 0 , -17 , -34 , -50 , -64 
114 , 64 , 49 , 34 , 17 , 0 , -17 , -34 , -50 , -64 , -76 
115 , 49 , 34 , 17 , 0 , -17 , -34 , -50 , -64 , -76 , -86 
116 , 34 , 17 , 0 , -17 , -34 , -50 , -64 , -76 , -86 , -93 
117 , 17 , 0 , -17 , -34 , -50 , -64 , -76 , -86 , -93 , -98 
118 , 0 , -17 , -34 , -50 , -64 , -76 , -86 , -93 , -98 , -99 
119 , -17 , -34 , -50 , -64 , -76 , -86 , -93 , -98 , -99 , -98 
120 , -34 , -50 , -64 , -76 , -86 , -93 , -98 , -99 , -98 , -93 
121 , -50 , -64 , -76 , -86 , -93 , -98 , -99 , -98 , -93 , -86 
122 , -64 , -76 , -86 , -93 , -98 , -99 , -98 , -93 , -86 , -76 
123 , -76 , -86 , -93 , -98 , -99 , -98 , -93 , -86 , -76 , -64 
124 , -86 , -93 , -98 , -99 , -98 , -93 , -86 , -76 , -64 , -49 
125 , -93 , -98 , -99 , -98 , -93 , -86 , -76 , -64 , -49 , -34 
126 , -98 , -99 , -98 , -93 , -86 , -76 , -64 , -49 , -34 , -17 
127 , -99 , -98 , -93 , -86 , -76 , -64 , -49 , -34 , -17 , 0 
128 , -98 , -93 , -86 , -76 , -64 , -49 , -34 , -17 , 0 , 17 
129 , -93 , -86 , -76 , -64 , -49 , -34 , -17 , 0 , 17 , 34 
130 , -86 , -76 , -64 , -49 , -34 , -17 , 0 , 17 , 34 , 50 
131 , -76 , -64 , -49 , -34 , -17 , 0 , 17 , 34 , 50 , 64 
132 , -64 , -49 , -34 , -17 , 0 , 17 , 34 , 50 , 64 , 76 
133 , -49 , -34 , -17 , 0 , 17 , 34 , 50 , 64 , 76 , 86 
134 , -34 , -17 , 0 , 17 , 34 , 50 , 64 , 76 , 86 , 93 
135 , -17 , 0 , 17 , 34 , 50 , 64 , 76 , 86 , 93 , 98 
